10	0.0476556	0.00649317	0.000881936	0.014456	0.0028527
9.9	0.0487627	0.00670295	0.000917847	0.0148122	0.00295135
9.8	0.0498776	0.00691272	0.000955648	0.0151684	0.0030545
9.7	0.0509926	0.00694224	0.000995356	0.0155245	0.00316235
9.6	0.0521075	0.00716044	0.00103721	0.0158807	0.00327515
9.5	0.0532224	0.00738787	0.00108123	0.0162971	0.00339318
9.4	0.0543374	0.00762501	0.00112763	0.0168562	0.00351676
9.3	0.0554523	0.00787239	0.00117656	0.0174153	0.00364621
9.2	0.0565672	0.00813057	0.00122811	0.0179744	0.00378198
9.1	0.0576822	0.00840015	0.00128259	0.0185335	0.00392433
9	0.0587971	0.00868175	0.00134003	0.0190927	0.00407366
8.9	0.0603417	0.00897612	0.00140081	0.0192546	0.0042304
8.8	0.0618982	0.00928396	0.00146501	0.0198262	0.00439498
8.7	0.0634547	0.00960601	0.00153293	0.0204212	0.00456791
8.6	0.0650112	0.0099431	0.00160487	0.0210415	0.00474987
8.5	0.0665677	0.0102961	0.00168097	0.0216881	0.00494129
8.4	0.0681243	0.010666	0.00176177	0.0223621	0.00514277
8.3	0.0696808	0.0110538	0.00184734	0.023066	0.00535495
8.2	0.0712373	0.0114606	0.00193827	0.0238006	0.00557854
8.1	0.0727938	0.0118875	0.00203479	0.0245677	0.0058143
8	0.0743503	0.0123359	0.00213736	0.02537	0.00606324
7.9	0.0765969	0.012807	0.00224656	0.0262086	0.00632616
7.8	0.0788626	0.0133024	0.00236261	0.0270859	0.00660395
7.7	0.0811284	0.0138237	0.00248651	0.0280048	0.00689764
7.6	0.0833942	0.0143724	0.0026184	0.0289669	0.00720837
7.5	0.0856599	0.0149505	0.00275928	0.0299754	0.00753735
7.4	0.0868252	0.0155601	0.00290967	0.0310334	0.00788613
7.3	0.0892082	0.0162033	0.00307036	0.0321431	0.00825618
7.2	0.0916905	0.0168824	0.00324245	0.0333089	0.00864889
7.1	0.0942777	0.0175998	0.00342639	0.034534	0.00906599
7	0.0969758	0.0183584	0.00362402	0.0358215	0.00950933
6.9	0.0997911	0.019161	0.00383568	0.0371773	0.00998096
6.8	0.102731	0.020011	0.00406319	0.0386047	0.0104833
6.7	0.105802	0.0209119	0.00430772	0.040108	0.0110192
6.6	0.109013	0.0218675	0.00457066	0.0416951	0.0115908
6.5	0.112371	0.0228821	0.00485435	0.0433692	0.0122012
6.4	0.115887	0.0239602	0.00515967	0.0451374	0.0128536
6.3	0.119571	0.0251069	0.00549013	0.0470079	0.0135515
6.2	0.123432	0.0263276	0.00584675	0.0489859	0.014299
6.1	0.127483	0.0276286	0.00623299	0.0510812	0.0151015
6	0.131737	0.0290163	0.00665157	0.053303	0.0159628
5.9	0.136206	0.0304988	0.00710522	0.0556589	0.0168883
5.8	0.140906	0.0320838	0.00759906	0.0581625	0.017884
5.7	0.145853	0.0337802	0.00813511	0.0608242	0.0189565
5.6	0.151065	0.0355978	0.00872052	0.0636549	0.020113
5.5	0.15656	0.0375476	0.00935829	0.066674	0.0213636
5.4	0.16236	0.0396419	0.0100555	0.0698927	0.0227162
5.3	0.168487	0.0418941	0.0108189	0.0733277	0.0241809
5.2	0.174966	0.0443195	0.0116544	0.0770047	0.0257692
5.1	0.181825	0.0469348	0.0125741	0.0809378	0.0274941
5	0.189094	0.049759	0.0135832	0.0851527	0.02937
4.9	0.196807	0.0528131	0.0146977	0.0896802	0.031416
4.8	0.204999	0.0561211	0.0159265	0.0945424	0.03365
4.7	0.213711	0.0597097	0.0172858	0.0997773	0.0360922
4.6	0.222989	0.063609	0.0187938	0.105422	0.0387666
4.5	0.232882	0.0678532	0.0204648	0.111512	0.0417007
4.4	0.243445	0.0724836	0.022331	0.118102	0.0449258
4.3	0.25474	0.0775429	0.0244068	0.12524	0.0484812
4.2	0.266836	0.083081	0.0267333	0.132979	0.0524099
4.1	0.279809	0.0891556	0.0293382	0.141404	0.0567563
4	0.293748	0.0958325	0.0322647	0.150576	0.0615756
3.9	0.308748	0.103188	0.0355674	0.160579	0.0669317
3.8	0.32492	0.111309	0.0392876	0.171537	0.0728991
3.7	0.34239	0.120298	0.0435218	0.183537	0.0795684
3.6	0.361297	0.130273	0.0483186	0.196721	0.0870521
3.5	0.381803	0.14137	0.0538002	0.211256	0.0954605
3.4	0.404093	0.153751	0.0600669	0.227289	0.104936
3.3	0.428378	0.167605	0.0672548	0.245052	0.115646
3.2	0.4549	0.183155	0.0755572	0.264784	0.127791
3.1	0.483942	0.200664	0.0851216	0.286733	0.141613
3	0.515829	0.220449	0.0962894	0.311289	0.157442
2.9	0.550941	0.242903	0.109266	0.338808	0.175596
2.8	0.589724	0.26847	0.124499	0.369724	0.196501
2.7	0.632701	0.297695	0.142423	0.404713	0.220675
2.6	0.680491	0.331246	0.163587	0.444337	0.248754
2.5	0.73383	0.369937	0.188841	0.489406	0.28152
2.4	0.793598	0.414769	0.218882	0.541058	0.320062
2.3	0.860853	0.466983	0.255218	0.600321	0.365556
2.2	0.936876	0.528121	0.299005	0.668761	0.419532
2.1	1.02323	0.60012	0.352398	0.748347	0.483945
2	1.12182	0.685425	0.417865	0.841136	0.561292
1.9	1.23502	0.787145	0.498404	0.950286	0.654771
1.8	1.36579	0.909268	0.599052	1.07946	0.768842
1.7	1.51782	1.05694	0.724333	1.23302	0.908993
1.6	1.69582	1.23686	0.88348	1.41773	1.08226
1.5	1.9058	1.45781	1.08513	1.64099	1.29812
1.4	2.15551	1.7318	1.3439	1.91259	1.56916
1.3	2.45503	2.07402	1.67866	2.24799	1.91213
